,Age,MP,Starts,Min,90s,Player,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasProg,PasAtt,PasCmp,Assists,PasAss,PPA,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,Fls,Fld,Off,AerWon,AerLost,AerWon%
0,22,20,19,1596,17.7,Brenden Aaronson,1,1.53,0.28,18.5,0.04,0.2,19.0,0.11,0.0,0.0,23.2,31.0,74.9,3.22,31.0,23.2,0.11,1.75,0.45,3.62,2.37,0.56,0.23,0.11,0.28,0.06,0.28,0.17,0.0,0.0,0.06,0.0,0.06,1.64,0.51,0.51,1.47,34.6,0.96,1.69,0.11,1.58,0.06,1.69,0.28,0.06,44.0,26.7,136.1,56.6,1.53,1.07,0.4,2.6,3.11,30.2,5.65,0.11,0.0,0.62,2.26,0.17,0.34,1.19,22.2
1,35,22,22,1980,22.0,Yunis Abdelhamid,0,0.86,0.05,5.3,0.0,0.0,13.5,0.0,0.0,0.0,38.5,47.2,81.5,4.5,47.2,38.5,0.05,0.27,0.09,1.14,0.86,0.0,0.0,0.18,0.0,0.09,0.18,0.14,0.0,0.0,0.05,0.0,0.0,2.5,1.59,1.32,1.68,78.4,0.36,2.23,0.77,1.45,2.0,4.5,2.91,0.05,59.2,40.0,234.2,125.0,0.55,0.23,0.09,0.73,0.68,34.5,0.23,0.09,0.0,1.32,0.5,0.05,2.18,1.23,64.0
2,23,14,8,770,8.6,Himad Abdelli,0,1.05,0.35,33.3,0.0,0.0,19.2,0.0,0.0,0.0,40.0,49.5,80.8,6.4,49.5,40.0,0.0,1.51,1.74,2.67,2.44,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.4,1.63,2.67,60.9,1.05,1.51,0.12,1.4,0.93,3.84,0.93,0.0,62.6,48.5,298.5,151.0,2.56,2.56,0.47,2.09,1.05,43.4,5.93,0.12,0.0,1.74,1.28,0.0,0.93,1.05,47.1
3,22,20,20,1799,20.0,Salis Abdul Samed,1,0.6,0.15,25.0,0.08,0.33,20.3,0.0,0.0,0.0,59.5,64.9,91.6,5.6,64.9,59.5,0.0,0.5,0.55,1.6,1.35,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.85,1.3,65.4,0.45,1.3,0.35,0.95,1.1,2.6,0.8,0.0,73.3,61.0,316.9,117.5,1.25,1.95,0.15,1.35,1.3,56.5,1.7,0.15,0.0,2.45,1.35,0.0,0.5,0.5,50.0
4,30,15,15,1165,12.9,Laurent Abergel,0,0.31,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,37.9,43.4,87.3,5.04,43.4,37.9,0.08,0.62,0.39,1.24,1.01,0.08,0.0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,3.8,2.02,1.32,3.26,40.5,1.94,1.4,0.23,1.16,1.16,4.96,1.55,0.0,54.7,41.0,174.3,72.7,0.47,0.93,0.0,1.32,0.78,36.4,0.47,0.16,0.0,0.93,1.01,0.0,0.31,0.39,44.4
5,26,1,0,11,0.1,Oliver Abildgaard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,66.7,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
6,19,5,2,185,2.1,Matthis Abline,1,4.29,1.43,33.3,0.11,0.33,20.4,0.0,0.0,0.0,7.14,10.0,71.4,1.9,10.0,7.14,0.0,0.0,1.43,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.48,0.0,0.95,0.0,0.95,0.48,0.0,0.48,0.48,1.9,0.48,0.0,25.7,17.1,97.1,10.5,1.43,0.0,0.95,7.62,3.33,19.0,6.67,0.0,0.0,0.95,1.43,0.48,1.43,1.43,50.0
7,19,11,0,107,1.2,Matthis Abline,1,5.0,1.67,33.3,0.17,0.5,12.2,0.0,0.0,0.0,5.83,12.5,46.7,1.67,12.5,5.83,0.0,1.67,0.83,5.83,1.67,0.0,0.0,2.5,0.83,0.83,1.67,0.0,0.0,0.0,0.0,0.83,0.83,0.83,0.83,0.83,0.83,100.0,0.0,0.83,0.0,0.83,1.67,2.5,0.83,0.0,30.8,22.5,145.0,87.5,3.33,0.83,1.67,8.33,0.83,22.5,9.17,0.0,0.0,2.5,4.17,0.83,0.83,3.33,20.0
8,22,4,3,272,3.0,Abner,0,0.67,0.33,50.0,0.0,0.0,7.8,0.0,0.0,0.0,39.0,54.3,71.8,3.33,54.3,39.0,0.0,0.0,0.33,1.0,0.67,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.67,2.33,2.0,2.33,85.7,0.33,1.33,0.67,0.67,2.0,4.67,2.67,0.0,65.7,30.3,112.7,67.3,0.67,0.67,0.33,1.0,0.67,35.0,3.67,0.0,0.0,0.67,0.67,0.0,1.0,2.0,33.3
9,22,22,17,1507,16.7,Zakaria Aboukhlal,5,2.75,1.02,37.0,0.11,0.29,18.1,0.0,0.0,0.0,17.6,25.3,69.7,1.8,25.3,17.6,0.24,0.54,0.42,2.34,1.32,0.0,0.18,0.36,0.42,0.06,0.24,0.12,0.0,0.06,0.0,0.06,0.0,1.14,0.72,0.3,1.32,22.7,1.02,0.54,0.06,0.48,0.84,1.98,0.66,0.0,38.0,28.6,177.7,74.7,3.05,1.08,1.14,2.57,0.96,27.1,9.52,0.18,0.0,1.56,1.8,0.72,0.42,1.32,24.1
10,25,22,18,1582,17.6,Tammy Abraham,6,2.67,1.25,46.8,0.13,0.27,11.6,0.0,0.0,0.0,13.7,20.1,68.6,2.1,20.1,13.7,0.17,1.42,0.63,3.07,1.99,0.0,0.23,0.57,0.28,0.0,0.51,0.23,0.0,0.06,0.17,0.06,0.0,0.74,0.4,0.23,0.68,33.3,0.45,0.51,0.23,0.28,0.17,0.91,0.45,0.0,31.6,16.8,89.8,35.9,1.42,0.97,0.63,2.33,1.31,24.5,5.0,0.06,0.0,1.31,2.05,0.51,2.56,2.39,51.7
11,35,14,12,1110,12.3,Francesco Acerbi,0,0.49,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,51.7,58.9,87.7,3.58,58.9,51.7,0.08,0.49,0.24,0.98,0.81,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.57,0.81,0.98,83.3,0.16,0.57,0.33,0.24,0.98,2.28,3.33,0.0,67.2,36.7,184.3,96.6,1.06,0.89,0.08,0.57,0.24,44.2,0.24,0.24,0.0,0.73,0.73,0.08,2.76,1.63,63.0
12,21,2,0,36,0.4,Mohamed Achi,0,2.5,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,45.0,52.5,85.7,7.5,52.5,45.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,100.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,62.5,52.5,335.0,187.5,5.0,5.0,0.0,0.0,2.5,47.5,2.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
13,31,16,12,985,10.9,Marcos Acuña,2,1.47,0.37,25.0,0.13,0.5,26.5,0.09,0.0,0.0,46.5,62.9,73.9,4.77,62.9,46.5,0.09,1.93,2.2,3.03,2.11,0.64,0.0,0.28,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,3.3,1.74,1.83,2.57,71.4,0.73,1.01,0.46,0.55,1.47,4.77,1.28,0.0,74.4,40.4,189.2,98.4,2.02,1.56,0.28,1.56,1.38,43.9,4.68,0.46,0.09,1.65,1.65,0.09,1.19,0.92,56.5
14,26,21,18,1577,17.5,Che Adams,4,2.06,0.74,36.1,0.11,0.31,14.5,0.0,0.0,0.0,14.6,22.2,65.8,1.31,22.2,14.6,0.11,1.2,0.57,2.63,2.06,0.06,0.06,0.23,0.23,0.0,0.29,0.17,0.0,0.0,0.0,0.11,0.0,0.86,0.69,0.4,0.51,77.8,0.11,0.51,0.17,0.34,0.23,1.09,1.03,0.0,32.6,18.0,73.8,21.9,0.69,0.51,0.46,3.43,0.91,25.0,4.57,0.0,0.0,1.77,1.03,0.4,2.97,5.03,37.1
15,23,19,19,1706,19.0,Tyler Adams,0,0.11,0.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0,47.1,57.4,82.0,5.84,57.4,47.1,0.0,1.21,0.63,1.84,1.79,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,4.11,2.0,2.21,3.16,70.0,0.95,1.84,0.32,1.53,1.42,5.53,1.16,0.0,69.4,35.2,137.1,62.5,0.68,1.0,0.0,1.16,0.68,39.6,0.95,0.26,0.05,1.74,1.05,0.05,0.89,0.63,58.6
16,29,16,3,471,5.2,Sargis Adamyan,1,3.46,1.73,50.0,0.06,0.11,13.7,0.0,0.0,0.0,18.1,25.0,72.3,3.65,25.0,18.1,0.19,1.35,1.92,3.27,2.5,0.0,0.0,0.77,0.0,0.0,0.38,0.19,0.0,0.0,0.19,0.0,0.0,1.92,1.15,0.77,1.92,40.0,1.15,1.35,0.0,1.35,0.38,2.31,0.58,0.0,42.7,24.0,135.2,52.3,1.54,0.96,0.77,3.65,2.69,27.7,8.65,0.38,0.0,2.31,0.77,0.58,1.54,3.85,28.6
17,25,14,12,1095,12.2,Tosin Adarabioyo,1,0.33,0.16,50.0,0.25,0.5,16.4,0.0,0.0,0.0,38.9,48.5,80.1,2.95,48.5,38.9,0.0,0.08,0.16,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.41,0.49,0.74,66.7,0.25,0.82,0.66,0.16,1.07,2.13,5.33,0.08,58.1,28.9,156.6,95.9,0.49,0.66,0.0,0.16,0.25,35.0,0.08,0.16,0.0,0.66,0.25,0.0,2.13,0.41,83.9
18,19,5,0,107,1.2,Martin Adeline,0,0.83,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,24.2,34.2,70.7,2.5,34.2,24.2,0.0,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,3.33,75.0,0.83,2.5,0.83,1.67,2.5,5.0,2.5,0.0,49.2,25.8,144.2,69.2,0.83,0.0,0.0,3.33,1.67,22.5,0.83,1.67,0.0,4.17,0.0,0.0,5.0,4.17,54.5
19,21,15,11,765,8.5,Karim Adeyemi,2,2.24,0.94,42.1,0.11,0.25,17.9,0.0,0.0,0.0,24.2,32.9,73.6,2.94,32.9,24.2,0.12,1.41,1.29,3.65,2.71,0.0,0.12,0.35,0.35,0.12,0.59,0.47,0.0,0.0,0.12,0.0,0.0,1.18,0.71,0.71,2.12,33.3,1.41,1.18,0.0,1.18,0.71,1.88,0.12,0.0,48.1,31.3,206.2,80.1,2.35,2.12,0.94,3.88,1.76,33.5,8.59,0.59,0.0,1.29,2.0,0.0,0.82,0.24,77.8
20,22,13,6,652,7.2,Amine Adli,1,1.94,0.69,35.7,0.07,0.2,12.3,0.0,0.0,0.0,26.3,33.1,79.4,3.47,33.1,26.3,0.28,1.39,0.56,2.64,1.81,0.28,0.14,0.14,0.14,0.14,0.42,0.28,0.0,0.14,0.0,0.0,0.0,1.53,1.11,0.42,1.11,37.5,0.69,2.08,0.28,1.81,0.42,1.94,0.56,0.0,48.3,27.8,151.8,74.4,2.5,1.39,0.69,4.72,1.67,36.1,8.61,0.14,0.0,3.33,2.78,0.28,1.53,2.22,40.7
21,22,4,1,116,1.3,Yacine Adli,0,1.54,1.54,100.0,0.0,0.0,18.5,0.0,0.0,0.0,29.2,46.2,63.3,6.15,46.2,29.2,0.0,0.77,1.54,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,2.31,1.54,1.54,100.0,0.0,1.54,0.0,1.54,0.77,5.38,0.77,0.0,60.0,33.8,217.7,108.5,3.85,3.08,0.0,1.54,1.54,44.6,5.38,0.77,0.0,2.31,0.77,0.0,0.0,2.31,0.0
22,26,18,8,775,8.6,Michel Aebischer,1,1.16,0.23,20.0,0.1,0.5,15.4,0.12,0.0,0.0,32.6,39.8,81.9,2.56,39.8,32.6,0.0,0.93,0.12,2.21,1.51,0.23,0.12,0.23,0.12,0.0,0.23,0.0,0.0,0.0,0.12,0.12,0.0,0.47,0.12,0.12,0.58,20.0,0.47,1.28,0.23,1.05,0.35,0.81,0.7,0.0,47.2,27.7,109.5,49.9,0.81,0.7,0.23,1.74,1.16,35.8,5.0,0.35,0.0,1.16,1.63,0.58,0.58,1.05,35.7
23,20,12,2,359,4.0,Felix Afena-Gyan,0,2.5,0.25,10.0,0.0,0.0,16.4,0.0,0.0,0.0,17.8,22.5,78.9,1.5,22.5,17.8,0.0,0.25,0.0,1.75,1.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.25,0.25,100.0,0.0,0.25,0.0,0.25,0.0,1.0,0.75,0.0,34.3,22.3,146.0,62.8,3.5,1.25,0.5,4.0,2.0,24.8,8.0,0.25,0.0,2.0,1.0,1.0,2.0,4.0,33.3
24,25,19,18,1599,17.8,Emmanuel Agbadou,0,0.79,0.11,14.3,0.0,0.0,15.4,0.0,0.0,0.0,43.4,50.8,85.4,3.31,50.8,43.4,0.11,0.34,0.45,1.18,0.96,0.06,0.0,0.17,0.0,0.0,0.17,0.11,0.0,0.0,0.06,0.0,0.0,2.58,1.63,1.57,2.3,68.3,0.73,1.12,0.51,0.62,1.18,3.76,4.33,0.11,62.3,43.5,264.2,134.4,0.62,0.67,0.11,0.84,0.51,37.0,0.28,0.11,0.11,1.01,0.28,0.0,1.85,1.35,57.9
25,21,5,4,286,3.2,Lucien Agoume,0,0.31,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,47.5,57.2,83.1,5.94,57.2,47.5,0.0,0.63,0.94,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,2.19,1.56,2.19,71.4,0.63,0.63,0.31,0.31,1.88,6.25,1.25,0.0,69.7,52.5,275.6,113.1,1.25,1.88,0.0,0.63,0.94,48.8,0.31,0.63,0.0,2.19,1.56,0.31,3.13,0.63,83.3
