SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts
2015,Ayrshire and Arran,Female,19,1440,258,213,471,1930,471,2401
2015,Ayrshire and Arran,Male,27,1405,246,217,463,1895,463,2358
2015,Borders,Female,3,407,56,59,115,525,115,640
2015,Borders,Male,5,447,65,44,109,561,109,670
2015,Dumfries and Galloway,Female,1,502,101,88,189,692,189,881
2015,Dumfries and Galloway,Male,4,497,112,80,192,693,192,885
2015,Forth Valley,Female,16,1230,188,160,348,1594,348,1942
2015,Forth Valley,Male,22,1223,228,139,367,1612,367,1979
2015,Grampian,Female,28,2206,344,257,601,2835,601,3436
2015,Grampian,Male,51,2171,350,356,706,2928,706,3634
2015,Highland,Female,8,1156,197,156,353,1517,353,1870
2015,Highland,Male,19,1211,193,169,362,1592,362,1954
2015,Lothian,Female,39,3368,519,396,915,4322,915,5237
2015,Lothian,Male,60,3393,531,410,941,4394,941,5335
2015,Orkney,Female,0,57,10,9,19,76,19,95
2015,Orkney,Male,0,67,15,10,25,92,25,117
2015,Shetland,Female,1,95,19,8,27,123,27,150
2015,Shetland,Male,1,114,21,14,35,150,35,185
2015,Western Isles,Female,0,95,8,10,18,113,18,131
2015,Western Isles,Male,1,120,15,13,28,149,28,177
2015,Fife,Female,17,1544,224,180,404,1965,404,2369
2015,Fife,Male,15,1577,270,216,486,2078,486,2564
2015,Tayside,Female,9,1499,271,210,481,1989,481,2470
2015,Tayside,Male,23,1607,267,207,474,2104,474,2578
2015,Greater Glasgow and Clyde,Female,48,4176,639,509,1148,5372,1148,6520
2015,Greater Glasgow and Clyde,Male,78,4304,579,545,1124,5506,1124,6630
2015,Lanarkshire,Female,39,2650,383,321,704,3393,704,4097
2015,Lanarkshire,Male,84,2663,428,355,783,3530,783,4313
2016,Ayrshire and Arran,Female,25,1394,234,216,450,1869,450,2319
2016,Ayrshire and Arran,Male,26,1440,258,250,508,1974,508,2482
2016,Borders,Female,2,422,64,49,113,537,113,650
2016,Borders,Male,5,429,76,62,138,572,138,710
2016,Dumfries and Galloway,Female,4,460,104,84,188,652,188,840
2016,Dumfries and Galloway,Male,3,464,107,90,197,664,197,861
2016,Forth Valley,Female,5,1230,197,136,333,1568,333,1901
2016,Forth Valley,Male,11,1271,204,155,359,1641,359,2000
2016,Grampian,Female,9,2142,335,270,605,2756,605,3361
2016,Grampian,Male,27,2261,378,310,688,2976,688,3664
2016,Highland,Female,6,1066,189,144,333,1405,333,1738
2016,Highland,Male,14,1078,181,162,343,1435,343,1778
2016,Lothian,Female,37,3045,481,419,900,3982,900,4882
2016,Lothian,Male,58,3180,515,458,973,4211,973,5184
2016,Orkney,Female,1,77,15,5,20,98,20,118
2016,Orkney,Male,0,66,14,14,28,94,28,122
2016,Shetland,Female,0,100,16,12,28,128,28,156
2016,Shetland,Male,1,86,18,20,38,125,38,163
2016,Western Isles,Female,0,81,12,12,24,105,24,129
2016,Western Isles,Male,1,106,13,13,26,133,26,159
2016,Fife,Female,14,1431,244,197,441,1886,441,2327
2016,Fife,Male,27,1480,229,211,440,1947,440,2387
2016,Tayside,Female,4,1620,272,223,495,2119,495,2614
2016,Tayside,Male,21,1568,284,258,542,2131,542,2673
2016,Greater Glasgow and Clyde,Female,34,4036,586,533,1119,5189,1119,6308
