region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.000390000001062
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.029999999329448
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000113994
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180
Austria,Historical,EV sales share,Cars,EV,2023,percent,26
Austria,Historical,EV charging points,EV,Publicly available fast,2023,charging points,2500
Austria,Historical,EV charging points,EV,Publicly available slow,2023,charging points,15000
Austria,Historical,EV stock,Cars,PHEV,2023,Vehicles,61000
Austria,Historical,EV stock,Cars,FCEV,2023,Vehicles,89
Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,9
Austria,Historical,EV stock,Cars,BEV,2023,Vehicles,160000
Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,48000
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000
Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,3
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7
Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,62
Belgium,Historical,EV stock,Cars,BEV,2012,Vehicles,830
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340
Belgium,Historical,EV sales share,Cars,EV,2012,percent,0.189999997615814
Belgium,Historical,EV stock,Cars,FCEV,2012,Vehicles,1
Belgium,Historical,EV stock,Cars,PHEV,2012,Vehicles,350
Belgium,Historical,EV stock,Trucks,BEV,2012,Vehicles,7
Belgium,Historical,EV stock share,Buses,EV,2012,percent,0.018999999389052
Belgium,Historical,EV sales share,Vans,EV,2012,percent,0.46000000834465
Belgium,Historical,EV stock share,Vans,EV,2012,percent,0.052999999374151
Belgium,Historical,EV stock share,Cars,EV,2012,percent,0.021999999880791
Belgium,Historical,EV stock share,Trucks,EV,2012,percent,0.004800000227988
Belgium,Historical,EV stock share,Trucks,EV,2013,percent,0.004800000227988
Belgium,Historical,EV stock share,Cars,EV,2013,percent,0.032999999821186
Belgium,Historical,EV stock share,Vans,EV,2013,percent,0.06700000166893
Belgium,Historical,EV sales share,Vans,EV,2013,percent,0.189999997615814
Belgium,Historical,EV stock share,Buses,EV,2013,percent,0.018999999389052
Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330
Belgium,Historical,EV stock,Trucks,BEV,2013,Vehicles,7
Belgium,Historical,EV stock,Cars,PHEV,2013,Vehicles,590
Belgium,Historical,EV stock,Cars,FCEV,2013,Vehicles,1
Belgium,Historical,EV sales share,Cars,EV,2013,percent,0.119999997317791
Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,60
Belgium,Historical,EV stock,Cars,BEV,2013,Vehicles,1200
Belgium,Historical,EV sales,Cars,BEV,2013,Vehicles,500
