raceId,driverId,milliseconds
1141,832,84667
981,836,90727
964,831,101251
1093,825,103839
1023,840,84725
992,825,110064
1067,8,95359
965,831,108304
1141,857,96644
1123,4,82939
926,8,92322
992,815,165806
1138,839,98458
1018,846,70160
980,826,114408
1084,852,73250
1045,20,97368
1113,4,100049
1065,844,85826
1015,847,82439
1060,817,69391
1095,852,77593
1004,840,103867
1133,855,85792
1086,847,83040
996,822,98544
964,822,99095
985,825,101986
1000,842,83142
1122,844,96681
1046,815,56862
1133,848,87968
1045,830,114175
1105,815,81266
1144,4,89565
994,828,78473
941,20,102715
1080,4,75882
1034,826,94683
1047,846,103455
965,839,135952
1093,815,100433
1006,825,119287
995,839,76961
1081,852,109788
1051,840,88586
1014,807,82110
1016,840,77418
1084,830,71912
989,817,91162
1033,1,78723
1018,847,70456
1107,825,70703
1046,8,58824
985,836,133708
992,842,109778
1125,844,100366
931,8,82504
1046,850,75203
974,154,77508
1032,830,68120
965,832,105450
995,1,74983
1106,846,76900
1088,815,75118
1056,849,77150
1035,847,93439
1042,839,83175
1078,825,97486
1017,830,94770
1098,844,98447
1105,844,80296
1093,846,102573
1029,842,72996
938,831,90132
1134,807,110294
1135,815,76898
986,13,82972
1080,847,77690
980,826,112946
952,835,89779
1089,815,87262
1053,853,80681
1038,846,85854
1065,840,87615
1053,840,79143
927,833,109040
942,815,106026
1120,858,90281
934,1,112659
1133,855,86620
1000,815,85737
1120,842,90329
1020,848,92216
968,831,110113
1046,826,90678
1129,1,75890
987,842,76163
929,828,100503
1044,1,106044
974,8,81399
1018,154,72023
1008,817,73783
939,154,135827
1032,849,70796
950,13,102554
1121,855,97788
967,825,122388
963,836,100461
955,815,111995
1033,830,83730
1030,830,103303
1041,846,92785
1056,846,76653
1076,848,84626
1117,832,83864
1109,830,83489
950,835,104978
1114,842,98066
987,842,74782
979,8,82910
1110,847,120809
994,154,78654
1021,822,83380
1029,815,75378
1084,849,71989
1042,20,82088
1101,815,105695
1096,848,92406
939,815,114585
1071,1,73394
961,13,88708
1111,822,92291
1010,830,88940
1138,825,100315
1076,849,84202
1069,830,100837
1009,817,103406
1133,852,86079
1120,840,89921
1105,830,78860
1006,815,102991
1113,4,103291
1015,826,79694
1104,842,78109
1058,830,72767
1072,839,101170
932,826,79325
1064,849,76576
992,825,121693
1096,825,93238
929,831,102068
1119,4,97757
1102,858,94511
1110,4,112098
1004,1,97316
942,3,116124
1082,4,78323
1140,859,81438
1117,857,84140
997,20,67779
980,807,111062
1066,20,103447
1014,832,121382
933,822,72444
1013,847,111090
985,8,100845
1123,842,83922
1109,840,84046
1034,8,91718
966,821,85494
930,815,94940
1012,844,95676
987,836,138697
1118,832,1533403
930,3,92027
966,13,84365
1105,840,79193
1109,822,88918
1110,817,112469
1073,830,89137
1007,8,81927
970,825,100032
1109,807,86902
1126,840,91632
958,830,85369
1089,840,87641
960,839,116815
1069,852,105603
1015,154,78179
1138,847,103822
1042,826,81268
948,1,92419
1025,9,103192
1064,815,77604
1046,822,58087
1095,4,74726
1044,848,104332
972,840,99775
1027,840,82859
1110,846,114921
1095,852,76387
929,828,100633
1122,825,93516
980,822,109066
1102,852,92412
1040,847,101505
1135,815,74956
1077,852,82072
980,822,109520
1053,815,102738
1056,830,75557
990,839,96366
964,825,98835
1133,858,84716
1003,817,105334
1056,854,80781
940,815,101718
930,822,110187
1135,830,76432
963,828,102562
1105,856,79340
1073,4,90842
960,830,1144667
1013,815,111836
956,13,83466
1031,826,70988
979,828,83773
928,833,133649
970,830,109316
1095,830,76370
1120,4,88500
982,825,131218
1102,830,91288
1006,8,100251
988,842,106073
1016,815,78955
1027,807,81411
1046,846,58425
1035,807,91407
937,828,118053
956,822,73041
1094,849,85135
1042,847,81861
1144,842,109760
