raceId,driverId,positionOrder
1123,832,1
936,831,11
1032,830,3
1096,1,18
1018,822,3
939,4,17
1001,844,18
953,825,19
985,20,2
1017,848,15
1076,817,6
962,830,6
984,13,10
998,4,8
1074,1,3
1028,830,3
985,4,17
1078,817,13
1019,807,10
1105,852,12
993,838,15
1110,848,14
1088,825,15
1054,847,16
1086,817,15
990,822,2
990,825,5
967,839,12
1029,840,19
1093,848,13
988,838,12
1061,840,8
1119,844,2
1112,859,11
995,4,18
1042,846,13
994,822,5
943,832,13
1013,841,12
936,815,19
989,828,19
978,807,6
933,826,12
1144,842,7
1032,839,18
960,826,14
1069,849,15
1119,858,16
1019,825,20
967,817,8
987,832,11
1075,846,7
1120,807,15
995,842,11
1063,852,15
1016,847,16
1070,830,1
1089,822,13
984,815,7
960,3,1
957,1,1
1030,826,9
1052,852,9
931,154,12
1117,857,8
1083,846,6
1043,826,4
1007,842,10
1044,154,18
940,13,17
1087,847,4
1081,830,1
949,807,15
1089,832,4
1076,830,18
957,837,19
938,13,3
999,840,17
1003,845,19
1056,4,13
1053,822,18
1061,847,12
1005,815,7
930,817,7
930,813,19
936,154,7
1130,842,9
1038,8,13
962,20,5
1060,830,1
1021,841,18
933,4,20
1010,841,15
1064,815,8
1104,815,16
1054,832,11
933,813,7
1054,853,19
991,843,20
1072,842,6
1108,858,11
949,822,9
1013,826,19
1122,4,5
1140,847,5
1002,20,4
993,822,2
1058,846,5
973,838,18
1040,848,10
1029,842,2
985,828,15
1027,825,15
996,828,13
944,18,14
1035,841,17
996,843,14
975,1,1
1104,840,20
1063,844,8
1078,854,15
1141,4,14
991,825,10
979,825,13
1069,839,19
1100,842,13
1037,849,16
1042,844,4
1096,20,10
937,18,14
1109,830,1
1137,840,19
1089,846,7
952,20,3
959,817,2
934,815,9
1044,848,7
1042,8,11
1062,817,11
987,836,14
958,1,1
1126,1,6
939,20,1
1139,861,10
933,828,13
937,830,8
1042,20,10
1124,840,12
1042,841,15
1113,857,7
1044,1,1
971,807,9
1045,840,19
986,815,7
1007,832,19
961,830,7
986,830,1
1071,853,17
929,807,13
936,826,2
1116,830,1
958,832,8
1086,842,12
927,813,16
965,154,10
926,832,9
955,817,7
1107,815,3
1035,842,11
981,154,15
1028,1,2
1071,841,14
998,840,12
1060,832,5
1092,830,1
934,18,19
940,826,13
1008,842,13
1009,828,18
1070,844,5
1125,857,8
968,836,14
1143,852,13
1143,848,15
1024,807,9
1140,859,16
1015,9,18
1012,20,3
1117,852,12
1139,859,9
1107,840,9
1075,830,1
954,20,2
958,837,21
1046,817,5
1109,847,6
1034,846,5
1123,815,5
1012,846,18
1027,848,5
981,8,5
1022,8,16
1079,817,12
1028,848,5
1043,825,18
1013,842,17
1060,852,12
1142,846,6
1144,815,20
953,13,10
941,826,5
952,832,6
964,20,4
1046,842,11
945,154,9
1115,842,12
1133,844,4
985,8,3
964,836,22
980,822,5
1130,846,2
1093,852,10
1020,8,12
993,20,4
956,830,2
1118,848,19
926,822,18
979,822,3
1020,9,10
980,825,15
1007,839,11
1113,842,6
941,828,20
1089,844,2
970,807,12
956,832,8
963,13,13
1040,154,17
1041,846,16
1031,848,13
1004,842,19
929,831,12
950,815,11
1136,842,15
1016,822,4
1000,832,9
1112,825,18
982,13,11
1107,856,17
999,825,11
1086,847,3
978,8,3
1031,840,18
1071,846,10
1120,852,8
1017,830,4
1139,815,7
1142,848,19
1087,844,6
1014,817,12
1122,852,15
967,154,22
1005,807,19
1032,154,13
967,4,10
1072,830,2
929,822,4
1104,847,5
964,8,5
1141,847,4
962,822,20
926,813,15
942,13,17
1020,825,8
1007,8,3
982,815,5
980,838,14
1122,817,16
1101,1,6
1008,154,8
1013,822,1
996,4,16
1064,822,3
1082,4,9
951,828,14
953,3,7
945,828,14
928,18,14
1005,843,13
979,814,18
1100,815,5
1059,844,16
1113,852,19
1082,846,15
977,815,7
1117,855,14
942,4,11
1139,822,17
1013,825,13
988,1,2
1112,840,16
1063,817,4
1024,840,13
1027,826,11
991,840,14
932,830,15
1011,847,15
943,3,1
1043,822,2
1087,815,2
1131,855,17
1052,853,20
1018,841,10
1109,825,17
1127,858,17
1125,842,13
1081,848,12
1102,855,16
967,836,15
1010,830,3
1016,826,10
961,826,19
1039,848,3
1002,839,6
1112,1,6
1041,841,10
996,839,19
1044,826,12
1030,848,6
1128,839,17
932,829,17
1138,844,5
1056,832,2
1002,825,16
1003,839,20
1079,840,15
976,835,20
1112,807,17
1126,840,17
1131,857,2
927,833,15
1058,840,8
1102,832,5
1028,8,11
1137,860,10
955,836,20
978,832,19
1007,154,16
1067,822,1
964,830,2
1127,840,9
975,815,5
978,154,13
1073,841,17
1088,822,19
1064,842,4
982,154,9
953,836,14
1110,844,3
1022,807,8
1087,20,8
938,830,12
1078,852,12
986,4,10
960,8,9
934,829,13
1087,849,18
1025,844,3
1098,844,19
1054,817,9
1132,844,14
968,822,21
988,836,14
979,828,16
1133,822,16
1043,154,14
984,832,20
968,821,12
1045,8,15
1085,822,14
961,825,17
1062,20,20
928,831,8
997,815,7
965,20,4
1063,830,1
928,822,6
988,4,9
1066,1,1
1131,807,6
1023,9,17
1043,815,6
1099,815,1
964,828,15
1108,807,13
1001,845,12
939,834,14
956,821,11
1131,825,8
960,817,2
1028,847,17
951,20,20
1002,842,14
943,815,8
965,815,8
1059,817,6
1044,825,17
971,839,10
1114,857,3
1091,840,6
1086,825,16
1058,841,15
1018,847,18
1020,822,15
1035,8,15
1141,848,18
1060,842,9
1054,849,18
942,834,12
1054,840,14
1122,830,1
953,832,8
1062,830,9
1085,844,19
955,154,13
953,815,3
972,840,11
1087,848,10
1013,830,4
951,836,18
956,828,15
975,13,19
1128,840,14
1058,1,2
1002,822,3
1110,842,11
1046,839,2
1108,847,5
966,839,21
1045,844,10
1061,4,7
1085,840,10
1140,855,15
1038,849,11
942,1,1
1087,846,12
987,843,17
1121,840,10
1070,8,8
991,822,2
1047,1,3
930,18,16
1123,855,15
1098,852,11
990,830,19
1105,842,10
1058,854,16
1109,858,18
927,13,6
999,20,18
1007,844,7
1051,852,13
1118,825,18
1137,848,7
1127,842,16
1131,847,1
934,813,18
948,836,16
950,825,17
1121,807,16
1004,845,18
942,154,18
1015,832,6
1070,847,16
937,807,20
1125,815,3
1038,825,19
1005,832,10
972,13,9
1141,807,20
1044,849,19
1092,817,11
1072,839,4
1120,4,7
989,154,16
965,835,13
957,828,21
983,20,4
995,830,3
1073,815,15
931,20,2
1051,853,18
953,830,18
1100,852,10
949,825,11
994,815,12
979,807,17
967,825,14
958,830,5
932,822,3
1130,852,19
981,4,17
933,8,19
1036,830,2
969,8,4
1028,841,14
1055,839,9
1014,154,10
990,154,13
1092,822,15
942,813,8
1001,842,9
987,20,1
1133,847,8
984,828,18
930,833,18
1116,822,12
939,8,3
974,836,19
1004,154,11
1071,8,12
987,830,5
1069,4,18
951,837,22
1140,846,2
1132,857,4
1020,842,14
957,20,9
1008,830,2
1078,825,16
1128,4,11
1027,8,19
1120,857,6
934,831,20
1142,807,8
1004,817,6
982,20,18
1053,1,2
1132,858,11
929,829,16
1053,846,3
1016,840,9
1056,852,16
967,807,7
1129,815,18
1031,849,11
1084,839,5
928,829,15
949,1,3
1111,832,5
950,807,15
1104,857,10
1078,842,18
1047,825,18
927,826,9
937,832,17
967,830,3
1065,822,3
1128,832,3
1083,825,10
1046,846,10
964,832,17
1124,857,8
1144,4,9
992,822,14
943,826,4
1110,832,19
979,8,2
966,18,12
1101,825,13
1075,822,15
1021,9,19
954,831,18
1067,817,13
1135,839,15
1087,840,11
1093,817,16
928,154,7
1121,846,6
980,826,12
944,829,17
974,825,10
1129,840,7
1038,846,4
985,830,4
1035,848,5
1106,1,3
955,815,3
1138,847,4
1115,840,11
1082,1,3
939,13,19
1032,842,15
1115,825,14
1074,4,9
967,20,5
1060,1,4
958,3,2
1119,832,6
1117,817,7
1065,20,12
941,817,15
978,1,1
1129,817,8
982,807,14
1053,830,1
1003,842,13
970,830,3
940,807,6
1004,828,13
980,20,2
997,807,20
1043,848,15
928,826,19
979,815,8
994,817,1
1013,840,9
1038,815,10
967,18,16
1004,4,14
1129,825,12
1032,846,5
1045,815,18
1081,852,13
1071,847,13
1134,1,1
1014,822,2
972,807,8
926,830,13
970,822,6
943,817,5
