Date,Customer_ID,City,Category,Product,Unit_Price,Quantity,Sales_Amount,Used_Discount,Discount_Amount,Final_Sales
1/1/23,32,Riyadh,coffee beans,Colombian,40,14,560,FALSE,0,560
1/2/23,49,Abha,coffee beans,Costa Rica,35,17,595,FALSE,0,595
1/3/23,75,Tabuk,coffee beans,Costa Rica,35,19,665,FALSE,0,665
1/4/23,80,Abha,coffee beans,Ethiopian,45,1,45,FALSE,0,45
1/5/23,78,Hail,coffee beans,Colombian,40,46,1840,TRUE,368,1472
1/6/23,1,Khobar,coffee beans,Colombian,40,32,1280,TRUE,256,1024
1/7/23,95,Buraidah,coffee beans,Brazilian,30,1,30,TRUE,6,24
1/8/23,27,Medina,coffee beans,Colombian,40,33,1320,FALSE,0,1320
1/9/23,73,Hail,coffee beans,Guatemala,35,47,1645,FALSE,0,1645
1/10/23,82,Dammam,coffee beans,Costa Rica,35,4,140,FALSE,0,140
1/11/23,63,Tabuk,coffee beans,Guatemala,35,6,210,FALSE,0,210
1/12/23,3,Medina,coffee beans,Brazilian,30,14,420,FALSE,0,420
1/13/23,71,Dammam,coffee beans,Costa Rica,35,47,1645,FALSE,0,1645
1/14/23,50,Jeddah,coffee beans,Costa Rica,35,47,1645,FALSE,0,1645
1/15/23,62,Mecca,coffee beans,Brazilian,30,2,60,FALSE,0,60
1/16/23,36,Jeddah,coffee beans,Ethiopian,45,49,2205,TRUE,441,1764
1/17/23,61,Khobar,coffee beans,Colombian,40,4,160,TRUE,32,128
1/18/23,58,Dammam,coffee beans,Colombian,40,45,1800,FALSE,0,1800
1/19/23,3,Jeddah,coffee beans,Ethiopian,45,48,2160,FALSE,0,2160
1/20/23,2,Riyadh,coffee beans,Ethiopian,45,18,810,TRUE,162,648
1/21/23,99,Mecca,coffee beans,Ethiopian,45,41,1845,FALSE,0,1845
1/22/23,98,Hail,coffee beans,Brazilian,30,7,210,FALSE,0,210
1/23/23,84,Medina,coffee beans,Brazilian,30,48,1440,FALSE,0,1440
1/24/23,96,Hail,coffee beans,Colombian,40,21,840,FALSE,0,840
1/25/23,37,Tabuk,coffee beans,Brazilian,30,2,60,TRUE,12,48
1/26/23,27,Tabuk,coffee beans,Costa Rica,35,18,630,FALSE,0,630
1/27/23,44,Medina,coffee beans,Costa Rica,35,42,1470,FALSE,0,1470
1/28/23,32,Medina,coffee beans,Costa Rica,35,29,1015,FALSE,0,1015
1/29/23,39,Jeddah,coffee beans,Guatemala,35,11,385,TRUE,77,308
1/30/23,47,Khobar,coffee beans,Guatemala,35,5,175,FALSE,0,175
1/31/23,12,Tabuk,coffee beans,Costa Rica,35,3,105,FALSE,0,105
2/1/23,60,Medina,coffee beans,Costa Rica,35,44,1540,FALSE,0,1540
2/2/23,86,Riyadh,coffee beans,Ethiopian,45,18,810,TRUE,162,648
2/3/23,69,Hail,coffee beans,Colombian,40,24,960,FALSE,0,960
2/4/23,82,Riyadh,coffee beans,Colombian,40,35,1400,FALSE,0,1400
2/5/23,37,Hail,coffee beans,Brazilian,30,11,330,FALSE,0,330
2/6/23,57,Hail,coffee beans,Guatemala,35,29,1015,TRUE,203,812
