,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022300061,7,203076,Anthony Davis,1610612747,Los Angeles Lakers,1,11,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20231024,DEN,LAL
1,Shot Chart Detail,0022300061,10,203999,Nikola Jokić,1610612743,Denver Nuggets,1,11,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,65,1,1,20231024,DEN,LAL
2,Shot Chart Detail,0022300061,11,1627752,Taurean Prince,1610612747,Los Angeles Lakers,1,10,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,56,1,1,20231024,DEN,LAL
3,Shot Chart Detail,0022300061,13,1627750,Jamal Murray,1610612743,Denver Nuggets,1,10,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,58,1,1,20231024,DEN,LAL
4,Shot Chart Detail,0022300061,14,1627752,Taurean Prince,1610612747,Los Angeles Lakers,1,10,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,134,1,1,20231024,DEN,LAL
5,Shot Chart Detail,0022300061,16,1627750,Jamal Murray,1610612743,Denver Nuggets,1,10,16,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-124,231,1,1,20231024,DEN,LAL
6,Shot Chart Detail,0022300061,18,1626156,D'Angelo Russell,1610612747,Los Angeles Lakers,1,10,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,184,169,1,0,20231024,DEN,LAL
7,Shot Chart Detail,0022300061,20,203076,Anthony Davis,1610612747,Los Angeles Lakers,1,9,49,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,109,147,1,0,20231024,DEN,LAL
8,Shot Chart Detail,0022300061,22,203999,Nikola Jokić,1610612743,Denver Nuggets,1,9,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,0,20231024,DEN,LAL
9,Shot Chart Detail,0022300061,24,2544,LeBron James,1610612747,Los Angeles Lakers,1,9,30,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,24,1,1,20231024,DEN,LAL
