"Precipitation","Date_full","Date_month","Date_week of","Date_year","City","Station_code","city","Station_state","Data_temperature_avg_Temp","high_temp","low_temp","Data_wind_direction","Data_wind_speed","lat","lon"
"0.0","2016-01-03","1","3","2016","Birmingham","BHM","Birmingham, AL","Alabama","39","46","32","33","4.33","33.518589","-86.810356"
"0.0","2016-01-03","1","3","2016","Huntsville","HSV","Huntsville, AL","Alabama","39","47","31","32","3.86","34.729542","-86.585297"
"0.16","2016-01-03","1","3","2016","Mobile","MOB","Mobile, AL","Alabama","46","51","41","35","9.73","33.314694","-88.0437509"
"0.0","2016-01-03","1","3","2016","Montgomery","MGM","Montgomery, AL","Alabama","45","52","38","32","6.86","32.3669656","-86.3006485"
"0.01","2016-01-03","1","3","2016","Anchorage","ANC","Anchorage, AK","Alaska","34","38","29","19","7.8","34.727279","-86.492671"
"1.09","2016-01-03","1","3","2016","Annette","ANN","Annette, AK","Alaska","38","44","31","9","8.7","55.0616667","-131.5416667"
"3.0","2016-01-03","1","3","2016","Kingman","IGM","Kingman, AZ","Arizona","40","54","25","4","4.2","35.189443","-114.0530065"
"2.0","2016-01-03","1","3","2016","Phoenix","PHX","Phoenix, AZ","Arizona","58","69","45","13","5.8","33.4484367","-112.074141"
"4.1","2016-01-03","1","3","2016","Tucson","TUS","Tucson, AZ","Arizona","56","69","43","12","12.93","32.1725335","-111.097646"
"3.0","2016-01-03","1","3","2016","Fort Smith","FSM","Fort Smith, AR","Arkansas","39","51","27","27","5.16","32.294564","-110.999304"
"1.0","2016-01-03","1","3","2016","Harrison","HRO","Harrison, AR","Arkansas","38","48","27","29","7.4","36.2297936","-93.1076765"
"1.3","2016-01-03","1","3","2016","North Little Rock","LZK","North Little Rock, AR","Arkansas","42","49","34","0","0.0","34.7465071","-92.2896267"
"0.0","2016-01-03","1","3","2016","Bakersfield","BFL","Bakersfield, CA","California","47","60","33","34","2.2","35.3738712","-119.019463"
"1.0","2016-01-03","1","3","2016","Los Angeles","LAX","Los Angeles, CA","California","55","63","45","15","2.76","34.0536909","-118.242766"
"3.2","2016-01-03","1","3","2016","Sacramento","SAC","Sacramento, CA","California","44","52","34","34","3.63","38.5810606","-121.493895"
"0.0","2016-01-03","1","3","2016","Salinas","SNS","Salinas, CA","California","49","57","41","8","6.46","36.6744117","-121.655037"
"1.1","2016-01-03","1","3","2016","San Diego","SAN","San Diego, CA","California","55","64","45","24","1.83","32.7174202","-117.162772"
"3.04","2016-01-03","1","3","2016","San Francisco","SFO","San Francisco, CA","California","46","51","41","10","4.43","37.7792588","-122.4193286"
"2.0","2016-01-03","1","3","2016","Denver","DEN","Denver, CO","Colorado","27","40","12","20","7.2","39.7392364","-104.984862"
"3.0","2016-01-03","1","3","2016","Bridgeport","BDR","Bridgeport, CT","Connecticut","38","43","32","27","8.86","41.1792695","-73.1887863"
"0.75","2016-01-03","1","3","2016","Daytona Beach","DAB","Daytona Beach, FL","Florida","63","68","58","32","6.23","29.2108147","-81.0228331"
"0.5","2016-01-03","1","3","2016","Key West","EYW","Key West, FL","Florida","79","102","74","17","4.53","24.5548262","-81.8020722"
"1.13","2016-01-03","1","3","2016","Miami","MIA","Miami, FL","Florida","76","82","70","17","3.33","25.7741728","-80.19362"
"0.0","2016-01-03","1","3","2016","Atlanta","ATL","Atlanta, GA","Georgia","42","48","36","31","10.93","33.7489924","-84.3902644"
